phrase_id,phrase,phrase_translation,language,code,context,tag_sequence,saved_at
PH-00001,Mi gato negro pequeño,my small black cat,Spanish,ES-2-01,Mi gato negro pequeño está durmiendo.,POSS-GEN → NOUN-ANIM → ADJ-INT-COLOR → ADJ-NINT-SIZE,2026-07-12T17:46:12.678Z
PH-00002,Un gato blanco pequeño en la calle,A small white cat in the street,Spanish,ES-2-02,Vimos un gato blanco pequeño en la calle.,ART-INDEF → NOUN-ANIM → ADJ-INT-COLOR → ADJ-NINT-SIZE → PP,2026-07-12T17:48:25.996Z
PH-00003,Muchos perros grandes,many big dogs,Spanish,ES-2-03,Muchos perros grandes ladran de noche.,QUANT-EXIST → NOUN-ANIM → ADJ-NINT-SIZE,2026-07-12T17:49:18.091Z
PH-00004,Muchos perros callejeros en el refugio,many stray dogs in the shelter,Spanish,ES-2-04,Ella cuida a muchos perros callejeros en el refugio.,QUANT-EXIST → NOUN-ANIM → ADJ-NINT-QUAL → PP,2026-07-12T17:51:47.740Z
PH-00005,Su nuevo coche rojo,His/her new red car,Spanish,ES-2-05,Su nuevo coche rojo es muy rápido.,POSS-GEN → ADJ-NINT-AGE → NOUN-INANIM-OBJECT → ADJ-INT-COLOR,2026-07-12T17:53:34.820Z
PH-00006,Un nuevo coche eléctrico para la familia,a new electric car for the family,Spanish,ES-2-06,Compré un nuevo coche eléctrico para la familia.,ART-INDEF → ADJ-NINT-AGE → NOUN-INANIM-OBJECT → ADJ-NINT-QUAL → PP,2026-07-12T17:54:40.136Z
PH-00007,Mis zapatos marrones viejos,my old brown shoes,Spanish,ES-2-07,Mis zapatos marrones viejos están rotos.,POSS-GEN → NOUN-INANIM-OBJECT → ADJ-INT-COLOR → ADJ-NINT-AGE,2026-07-12T17:56:03.546Z
PH-00008,Unos zapatos negros viejos,some old black shoes,Spanish,ES-2-08,Tiré unos zapatos negros viejos al cubo.,ART-INDEF → NOUN-INANIM-OBJECT → ADJ-INT-COLOR → ADJ-NINT-AGE,2026-07-12T18:00:38.976Z
PH-00009,Muchos libros interesantes,many interesting books,Spanish,ES-2-09,Hay muchos libros interesantes en la biblioteca.,QUANT-EXIST → NOUN-INANIM-OBJECT → ADJ-NINT-QUAL,2026-07-12T18:01:23.441Z
PH-00010,Muchos libros antiguos sobre historia,many old books about history,Spanish,ES-2-10,Leí muchos libros antiguos sobre historia.,QUANT-EXIST → NOUN-INANIM-OBJECT → ADJ-NINT-AGE → PP,2026-07-12T18:03:27.989Z
